Running single thread with 1 workers
finished   (229-0:0) [] [ '229', '230' ]
finished   (225-1:0) [] [ '225', '207' ]
finished   (229-1:0) [] [ '229', '231' ]
finished   (232-0:0) [] [ '232', '233' ]
finished   (227-1:0) [] [ '227', '234' ]
finished   (235-0:0) [] [ '235', '208' ]
finished   (236-0:0) [] [ '236', '218' ]
finished   (237-0:0) [] [ '237', '206' ]
finished   (235-1:0) [] [ '235', '231' ]
finished   (238-0:0) [] [ '238', '208' ]
finished   (239-0:0) [] [ '239', '230' ]
finished   (240-0:0) [] [ '240', '226' ]
finished   (241-0:0) [] [ '241', '207' ]
finished   (158-1:0) [] [ '158', '242' ]
finished   (227-2:0) [] [ '227', '243' ]
finished   (244-0:0) [] [ '244', '245' ]
finished   (246-0:0) [] [ '246', '247' ]
finished   (248-0:0) [] [ '248', '249' ]
finished   (250-0:0) [] [ '250', '206' ]
finished   (244-1:0) [] [ '244', '208' ]
finished   (170-1:0) [] [ '170', '242' ]
finished   (251-0:0) [] [ '251', '247' ]
finished   (243-0:0) [] [ '243', '234' ]
finished   (252-0:0) [] [ '252', '54' ]
finished   (253-0:0) [] [ '253', '40' ]
finished   (254-0:0) [] [ '254', '226' ]
finished   (255-0:0) [] [ '255', '247' ]
finished   (256-0:0) [] [ '256', '29' ]
finished   (257-0:0) [] [ '257', '40' ]
finished   (257-1:0) [] [ '257', '208' ]
finished   (165-1:0) [] [ '165', '247' ]
finished   (258-0:0) [] [ '258', '245' ]
finished   (259-0:0) [] [ '259', '230' ]
finished   (260-0:0) [] [ '260', '40' ]
finished   (261-0:0) [] [ '261', '226' ]
finished   (262-0:0) [] [ '262', '207' ]
finished   (263-0:0) [] [ '263', '208' ]
finished   (263-1:0) [] [ '263', '226' ]
finished   (264-0:0) [] [ '264', '21' ]
finished   (265-0:0) [] [ '265', '40' ]
finished   (266-0:0) [] [ '266', '208' ]
finished   (266-1:0) [] [ '266', '245' ]
finished   (41-1:0) [] [ '41', '231' ]
finished   (69-1:0) [] [ '69', '40' ]
finished   (41-2:0) [] [ '41', '226' ]
finished   (69-2:0) [] [ '69', '206' ]
finished   (63-1:0) [] [ '63', '208' ]
finished   (78-1:0) [] [ '78', '231' ]
finished   (267-0:0) [] [ '267', '268' ]
finished   (269-0:0) [] [ '269', '175' ]
finished   (179-1:0) [] [ '179', '13' ]
finished   (242-0:0) [] [ '242', '270' ]
finished   (271-0:0) [] [ '271', '125' ]
finished   (169-1:0) [] [ '169', '13' ]
finished   (163-1:0) [] [ '163', '13' ]
finished   (242-1:0) [] [ '242', '270' ]
finished   (178-1:0) [] [ '178', '13' ]
finished   (272-0:0) [] [ '272', '273' ]
finished   (274-0:0) [] [ '274', '270' ]
finished   (275-0:0) [] [ '275', '125' ]
finished   (275-1:0) [] [ '275', '125' ]
finished   (276-0:0) [] [ '276', '277' ]
finished   (278-0:0) [] [ '278', '273' ]
finished   (125-0:0) [] [ '125', '17' ]
finished   (279-0:0) [] [ '279', '280' ]
finished   (281-0:0) [] [ '281', '280' ]
finished   (282-0:0) [] [ '282', '280' ]
